OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S004067340	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004067704	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004068453	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004083603	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004083604	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004083605	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S004451352	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002235859	Prevotella_corporis	oral_cavity	0	0	0	0	0	0
otu_S002963266	Prevotella_corporis	oral_cavity	0	0	0	0	0	0
otu_S002963269	Prevotella_corporis	oral_cavity	0	0	0	0	0	0
